Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Afghanistan,AFG,169146608
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Albania,ALB,989578334.828615
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Algeria,DZA,-537792920.921856
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Angola,AGO,10028215162.6394
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Antigua and Barbuda,ATG,114024660.121814
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Argentina,ARG,11758994011.286
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Armenia,ARM,184127986.314895
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Aruba,ABW,-26881396.9938559
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Australia,AUS,46892808567.8515
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Austria,AUT,-6847372583.72227
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Azerbaijan,AZE,4047630000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,"Bahamas, The",BHS,76075924.75"
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Bahrain,BHR,64893617.0212766
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Bangladesh,BGD,2831152765.15514
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Barbados,BRB,688525943.309105
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Belarus,BLR,1652300000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Belgium,BEL,-19514245854.7287
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Belize,BLZ,59119223.8981488
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Benin,BEN,149755663.330268
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Bermuda,BMU,-143094386.12
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Bhutan,BTN,6450953.84974429
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Bolivia,BOL,554643532.297183
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Bosnia and Herzegovina,BIH,383089615.729343
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Botswana,BWA,378554181.530078
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Brazil,BRA,64738153494.44
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,British Virgin Islands,VGB,66712741570
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Brunei Darussalam,BRN,171289167.823994
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Bulgaria,BGR,2221390000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Burkina Faso,BFA,231901703.683868
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Burundi,BDI,7360447.70883191
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Cabo Verde,CPV,96071472.8368678
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Cambodia,KHM,1822804151.25711
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Cameroon,CMR,694336734.87982
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Canada,CAN,59986208237.0734
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Cayman Islands,CYM,80501525460
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Central African Republic,CAF,3000000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Chad,TCD,559642020
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Chile,CHL,17766285629.0926
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,China,CHN,242489331627.398
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Colombia,COL,11620532645.7091
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Comoros,COM,4936699.51044481
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Costa Rica,CRI,2955521680.83967
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Cote d'Ivoire,CIV,494408755.77634
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Croatia,HRV,488655917.568244
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Curacao,CUW,146435754.189944
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Cyprus,CYP,27319647777.152
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Czechia,CZE,1699914616.60242
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Denmark,DNK,1842994663.46023
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Djibouti,DJI,143832186.404532
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Dominica,DMA,7160376.50888888
